-2,448954	-0,000010
-2,346912	-0,000009
-2,244870	-0,000009
-2,142829	-0,000008
-2,040787	-0,000008
-1,938745	-0,000007
-1,836703	-0,000007
-1,734661	-0,000006
-1,632619	-0,000006
-1,530578	-0,000006
-1,428536	-0,000005
-1,326494	-0,000005
-1,224452	-0,000004
-1,122410	-0,000004
-1,020369	-0,000004
-0,918327	-0,000003
-0,816285	-0,000003
-0,714243	-0,000002
-0,612201	-0,000002
-0,510159	-0,000002
-0,408117	-0,000001
-0,306076	-0,000001
-0,204034	-0,000001
-0,101992	-0,000000
0,000050	0,000000
